Ciudad,Salida,Puesta,Duración,Fecha
Chile,6.5817,20.9536,14.3719,2024-01-01
Chile,6.6758,20.9642,14.2883,2024-01-08
Chile,6.7814,20.9494,14.1681,2024-01-15
Chile,6.8942,20.9097,14.0156,2024-01-22
Chile,7.0097,20.8461,13.8364,2024-01-29
Chile,7.125,20.7611,13.6361,2024-02-05
Chile,7.2372,20.6569,13.4197,2024-02-12
Chile,7.3453,20.5367,13.1914,2024-02-19
Chile,7.4481,20.4033,12.9553,2024-02-26
Chile,7.5458,20.2597,12.7139,2024-03-04
Chile,7.6389,20.1092,12.4703,2024-03-11
Chile,7.7283,19.9542,12.2258,2024-03-18
Chile,7.8153,19.7975,11.9822,2024-03-25
Chile,7.9006,19.6425,11.7419,2024-04-01
Chile,6.985,18.4914,11.5064,2024-04-08
Chile,7.07,18.3469,11.2769,2024-04-15
Chile,7.1556,18.2117,11.0561,2024-04-22
Chile,7.2417,18.0883,10.8467,2024-04-29
Chile,7.3278,17.9792,10.6514,2024-05-06
Chile,7.4128,17.8869,10.4742,2024-05-13
Chile,7.4947,17.8128,10.3181,2024-05-20
Chile,7.5711,17.7586,10.1875,2024-05-27
Chile,7.6389,17.7253,10.0864,2024-06-03
Chile,7.6953,17.7128,10.0175,2024-06-10
Chile,7.7372,17.7206,9.9833,2024-06-17
Chile,7.7617,17.7467,9.985,2024-06-24
Chile,7.7667,17.7889,10.0222,2024-07-01
Chile,7.7506,17.8447,10.0942,2024-07-08
Chile,7.7131,17.9106,10.1975,2024-07-15
Chile,7.6544,17.9839,10.3294,2024-07-22
Chile,7.5758,18.0611,10.4853,2024-07-29
Chile,7.4786,18.1408,10.6622,2024-08-05
Chile,7.3647,18.2208,10.8561,2024-08-12
Chile,7.2367,18.3,11.0633,2024-08-19
Chile,7.0969,18.3783,11.2814,2024-08-26
Chile,6.9478,18.4553,11.5075,2024-09-02
Chile,7.7919,19.5319,11.74,2024-09-09
Chile,7.6322,19.6089,11.9767,2024-09-16
Chile,7.4711,19.6872,12.2161,2024-09-23
Chile,7.3114,19.7681,12.4567,2024-09-30
Chile,7.1558,19.8528,12.6969,2024-10-07
Chile,7.0069,19.9422,12.9353,2024-10-14
Chile,6.8681,20.0367,13.1686,2024-10-21
Chile,6.7419,20.1369,13.395,2024-10-28
Chile,6.6317,20.2419,13.6103,2024-11-04
Chile,6.54,20.3511,13.8111,2024-11-11
Chile,6.47,20.4614,13.9914,2024-11-18
Chile,6.4233,20.5706,14.1472,2024-11-25
Chile,6.4022,20.6744,14.2722,2024-12-02
Chile,6.4072,20.7683,14.3611,2024-12-09
Chile,6.4375,20.8483,14.4108,2024-12-16
Chile,6.4917,20.9097,14.4181,2024-12-23
Chile,6.5664,20.9489,14.3825,2024-12-30
Tokio,6.8114,16.6481,9.8367,2024-01-01
Tokio,6.8222,16.7431,9.9208,2024-01-08
Tokio,6.8067,16.8508,10.0442,2024-01-15
Tokio,6.765,16.9669,10.2019,2024-01-22
Tokio,6.6986,17.0872,10.3886,2024-01-29
